Country,Year,Country Code,child_obesity%,adult_obesity_Both sexes,adult_obesity_Male,adult_obesity_Female,percentage_pop_urban,Total Population - Both sexes,Total Population - Male,Total Population - Female,pop_undernourrish,adult_lsport_bothsex,adult_lsport_male,adult_lsport_female,child_lsport_bothsex,child_lsport_male,child_lsport_female,PIB/hab in $,Fat_supply_quantity(g_capita_day),Food_supply(kcal_capita_day),Protein_supply_quantity(g/capita/day),Fat_supply_kcal_capita_day,Percentage_supply_fat_capita_day,animal_tne,vegetal_tne,part_aliments_animaux,Continent,%Use_of_Mental_disorders_substance,Alcohol_kcal_day_capita,People per Mcdo,child_obesity_nb,adult_obesity_Both sexes_nb,adult_obesity_Male_nb,adult_obesity_Female_nb,Africa,Americas,Asia,Oceania,Europe,Kmeans
Portugal,2016,PRT,0.31684,0.208,0.203,0.212,0.64086,10325538,5440513,4885027,0,0.434,0.375,0.485,0.843,0.781,0.907,19889.456378,141.48,3433,113.31,1273.32,0.370905913195456,7992,13775,0.3672,Europe,0.153726906627,214,69662,3271543,2147712,1104424,1035626,0,0,0,1,0,0
Romania,2016,ROU,0.24035,0.225,0.234,0.216,0.539,19796285,10158400,9637880,0,0.354,0.321,0.383,0.795,0.727,0.867,9530.494473,122.03,3507,107.08,1098.27,0.313165098374679,13694,29591,0.3164,Europe,0.108222226194,167,280571,4758037,4454164,2377066,2081782,0,0,0,1,0,0
Russia,2016,RUS,0.24803,0.231,0.181,0.269,0.74164,145275383,77968782,67306592,0,0.171,0.166,0.176,0.845,0.809,0.883,8925.908967,108.32,3354,101.6,974.88,0.290661896243292,83530,171739,0.3272,Europe,0.117262675441,140,195911,36032653,33558613,14112350,18105473,0,0,0,1,0,0
Samoa,2016,WSM,0.47752,0.473,0.399,0.55,0.18681,194535,93934,100606,0,0.126,0.082,0.172,0.871,0.875,0.867,4210.826406,139.7,2974,85.63,1257.3,0.422763954270343,77,252,0.234,Oceania,0.109927217424,32,196440,92894,92015,37480,55333,0,0,0,0,1,2
Senegal,2016,SEN,0.07682,0.088,0.04,0.129,0.46296,14993519,7698901,7294613,0.1,0.231,0.176,0.281,0.885,0.848,0.922,1235.452194,72.91,2589,61.18,656.19,0.253453070683662,1785,8857,0.1677,Africa,0.114607954943,3,,1151802,1319430,307956,941005,1,0,0,0,0,2
Slovakia,2016,SVK,0.22903,0.205,0.21,0.199,0.53806,5442003,2796424,2645577,0.0735,0.349,0.311,0.384,0.715,0.655,0.778,16465.310769,150.44,2829,66.06,1353.96,0.478600212089077,2388,5071,0.3202,Europe,0.110898879605,157,181167,1246382,1115611,587249,526470,0,0,0,1,0,0
Slovenia,2016,SVN,0.32209,0.202,0.194,0.21,0.5402,2074210,1043085,1031120,0,0.322,0.277,0.366,0.8,0.748,0.856,21489.173612,118.85,3164,99.4,1069.65,0.338068900126422,1455,2249,0.3928,Europe,0.115674435502,142,103300,668082,418990,202358,216535,0,0,0,1,0,0
Solomon Islands,2016,SLB,0.28964,0.225,0.179,0.271,0.22823,619438,304526,314912,0.1614,0.182,0.133,0.232,0.837,0.821,0.854,1882.972206,46.11,2400,55.42,414.99,0.1729125,70,651,0.0971,Oceania,0.113922534947,13,,179414,139374,54510,85341,0,0,0,0,1,2
South Korea,2016,KOR,0.32371,0.047,0.044,0.048,0.81562,50983457,25439687,25543759,0,0.354,0.295,0.41,0.942,0.914,0.972,29534.453128,105.48,3335,95.91,949.32,0.284653673163418,18494,57804,0.2424,Asia,0.117882453778,136,115145,16503855,2396222,1119346,1226100,0,0,1,0,0,1
Spain,2016,ESP,0.34317,0.238,0.246,0.228,0.7984,46634140,23746305,22887826,0,0.268,0.229,0.305,0.766,0.698,0.838,26583.397099,148.11,3276,106.4,1332.99,0.406895604395605,30507,50772,0.3753,Europe,0.161691251727,159,91788,16003438,11098925,5841591,5218424,0,0,0,1,0,1
Sri Lanka,2016,LKA,0.23681,0.052,0.029,0.073,0.18311,21021171,10902883,10118294,0.0809,0.289,0.202,0.367,0.852,0.816,0.887,3961.876422,48.18,2585,63.64,433.62,0.167744680851064,3147,16936,0.1567,Asia,0.115165555377,12,3062857,4978024,1093101,316184,738635,0,0,1,0,0,2
Suriname,2016,SUR,0.12915,0.264,0.189,0.337,0.6604,564888,280733,284150,0.177,0.444,0.381,0.506,0.814,0.784,0.846,5603.824511,77.97,2702,61.09,701.73,0.259707623982235,138,475,0.2251,Americas,0.144014860325,80,281701,72955,149130,53059,95759,0,1,0,0,0,0
Sweden,2016,SWE,0.26426,0.206,0.231,0.181,0.86852,9836007,4917041,4918962,0,0.231,0.215,0.247,0.847,0.822,0.873,52426.189597,136.92,3167,105.87,1232.28,0.389100094726871,9270,10282,0.4741,Europe,0.15573536745,148,44422,2599263,2026217,1135836,890332,0,0,0,1,0,1
Switzerland,2016,CHE,0.22606,0.195,0.222,0.169,0.73739,8379917,4229812,4150103,0,0.237,0.217,0.257,0.857,0.825,0.891,79901.220137,150.75,3341,93.52,1356.75,0.406090990721341,6979,8935,0.4385,Europe,0.148497478733,165,50419,1894364,1634084,939018,701367,0,0,0,1,0,0
Tanzania,2016,TZA,0.11302,0.084,0.04,0.127,0.32333,53049230,26565525,26483706,0.2451,0.065,0.058,0.071,0.821,0.782,0.86,918.375034,52.35,2379,60.97,471.15,0.198045397225725,5690,47780,0.1064,Africa,0.123758343215,51,,5995624,4456135,1062621,3363431,1,0,0,0,0,2
Thailand,2016,THA,0.20406,0.1,0.07,0.127,0.48448,68971308,35310912,33660401,0.087,0.246,0.218,0.272,0.775,0.702,0.85,5987.974767,64.42,2829,60.24,579.78,0.204941675503712,13197,65374,0.168,Asia,0.118025016094,125,287667,14074285,6897131,2471764,4274871,0,0,1,0,0,2
Trinidad and Tobago,2016,TTO,0.19676,0.186,0.108,0.26,0.5325,1377560,696476,681087,0.0726,0.382,0.272,0.486,0.821,0.788,0.856,16326.384436,89.93,3038,85.09,809.37,0.266415404871626,576,1199,0.3245,Americas,0.140294295444,23,228167,271049,256226,75219,177083,0,1,0,0,0,0
Tunisia,2016,TUN,0.26352,0.269,0.191,0.343,0.68346,11303945,5702821,5601121,0,0.304,0.264,0.341,0.815,0.749,0.884,3665.802374,97.47,3489,101.23,877.23,0.251427343078246,3684,14534,0.2022,Africa,0.153005426747,17,,2978816,3040761,1089239,1921185,1,0,0,0,0,0
Turkey,2016,TUR,0.27434,0.321,0.244,0.392,0.74134,79827871,40514350,39313518,0,0.306,0.217,0.388,0.813,0.766,0.861,10862.600399,121.2,3558,102.96,1090.8,0.306576728499157,36484,107983,0.2525,Asia,0.14325939734,23,312980,21899978,25624747,9885501,15410899,0,0,1,0,0,0
Uganda,2016,UGA,0.13914,0.053,0.018,0.086,0.22624,39649166,20161759,19487414,0,0.055,0.052,0.058,0.857,0.84,0.873,612.791914,44.27,2132,53.09,398.43,0.1868808630394,4819,35451,0.1197,Africa,0.134797996292,75,,5516785,2101406,362912,1675918,1,0,0,0,0,2
Ukraine,2016,UKR,0.16715,0.241,0.22,0.257,0.69154,44713702,24018470,20695238,0,0.196,0.187,0.204,0.767,0.706,0.83,2100.782123,77.5,2999,86.82,697.5,0.232577525841947,22309,58091,0.2775,Europe,0.121332762127,99,451612,7473895,10776002,5284063,5318676,0,0,0,1,0,0
United Kingdom,2016,GBR,0.2646,0.278,0.269,0.286,0.82886,66297944,33602517,32695427,0,0.359,0.315,0.4,0.799,0.747,0.854,40953.664836,139.21,3409,104.68,1252.89,0.367524200645351,45026,77361,0.3679,Europe,0.146471239666,158,51837,17542436,18430828,9039077,9350892,0,0,0,1,0,1
United States of America,2016,USA,0.24027,0.362,0.355,0.37,0.81862,323015995,163217761,159798231,0,0.4,0.317,0.48,0.72,0.64,0.805,58088.841471,165.81,3747,113.04,1492.29,0.39826261008807,262698,379715,0.4089,Americas,0.173342075787,165,23130,77611053,116931790,57942305,59125345,0,1,0,0,0,1
Uruguay,2016,URY,0.35753,0.279,0.249,0.306,0.95144,3424129,1772136,1652003,0,0.224,0.187,0.257,0.822,0.753,0.894,15298.347295,106.27,3132,82.03,956.43,0.305373563218391,2149,3263,0.3971,Americas,0.157505812292,94,164619,1224229,955332,441262,505513,0,1,0,0,0,1
Vanuatu,2016,VUT,0.17809,0.252,0.202,0.301,0.25062,278330,137121,141205,0.3593,0.08,0.072,0.088,0.875,0.862,0.89,2974.564486,98.44,2611,63.41,885.96,0.339318268862505,53,309,0.1464,Oceania,0.11202929703,12,,49568,70139,27698,42503,0,0,0,0,1,2
Venezuela,2016,VEN,0.37558,0.256,0.224,0.286,0.88165,29851255,15040542,14810707,0.2077,0.314,0.295,0.333,0.888,0.848,0.929,9144.805748,68.7,2253,54.55,618.3,0.274434087882823,13459,26668,0.3354,Americas,0.111109040289,44,240451,11211534,7641921,3369081,4235862,0,1,0,0,0,1
"China, Vietnam",2016,VNM,0.10524,0.021,0.016,0.026,0.3451,93640422,46944163,46696272,0.0758,0.254,0.199,0.306,0.863,0.823,0.906,2170.648046,78.74,2924,89.93,708.66,0.242359781121751,21042,83329,0.2016,Asia,0.0971525496267,40,5620000,9854718,1966449,751107,1214103,0,0,1,0,0,2
Zambia,2016,ZMB,0.35937,0.081,0.036,0.124,0.42438,16363458,8264686,8098763,0,0.221,0.191,0.25,0.893,0.894,0.891,1292.999808,45.69,2010,58.27,411.21,0.204582089552239,965,9052,0.0963,Africa,0.122623564408,50,,5880536,1325440,297529,1004247,1,0,0,0,0,2
Zimbabwe,2016,ZWE,0.11215,0.155,0.047,0.253,0.32296,14030331,7356132,6674206,0,0.268,0.228,0.307,0.866,0.846,0.886,1272.335448,57.25,2176,50.78,515.25,0.236787683823529,1632,7961,0.1701,Africa,0.116068871964,57,,1573502,2174701,345738,1688574,1,0,0,0,0,2
