Country,Year,Country Code,child_obesity%,adult_obesity_Both sexes,adult_obesity_Male,adult_obesity_Female,percentage_pop_urban,Total Population - Both sexes,Total Population - Male,Total Population - Female,pop_undernourrish,adult_lsport_bothsex,adult_lsport_male,adult_lsport_female,child_lsport_bothsex,child_lsport_male,child_lsport_female,PIB/hab in $,Fat_supply_quantity(g_capita_day),Food_supply(kcal_capita_day),Protein_supply_quantity(g/capita/day),Fat_supply_kcal_capita_day,Percentage_supply_fat_capita_day,animal_tne,vegetal_tne,part_aliments_animaux,Continent,%Use_of_Mental_disorders_substance,Alcohol_kcal_day_capita,People per Mcdo,child_obesity_nb,adult_obesity_Both sexes_nb,adult_obesity_Male_nb,adult_obesity_Female_nb,Africa,Americas,Asia,Oceania,Europe,Kmeans
Chile,2016,CHL,0.44657,0.28,0.249,0.31,0.87422,18209068,9243814,8965258,0.033,0.266,0.244,0.286,0.876,0.842,0.912,13977.850457,88.73,3000,88.06,798.57,0.26619,7931,16405,0.3259,Americas,0.160583915934,98,234416,8131623,5098539,2301710,2779230,0,1,0,0,0,1
China,2016,CHN,0.24093,0.062,0.059,0.065,0.56736,1445523929,704042370,741481549,0,0.141,0.16,0.122,0.843,0.801,0.891,8150.802567,96.83,3169,100.53,871.47,0.27499842221521,460968,2058572,0.183,Asia,0.114309423525,91,513333,348270080,89622484,41538500,48196301,0,0,1,0,0,0
Colombia,2016,COL,0.12473,0.223,0.176,0.266,0.80108,48175052,24556894,23618154,0.0581,0.44,0.388,0.489,0.839,0.81,0.87,5813.055242,82.1,3046,70.97,738.9,0.24258043335522,17498,45795,0.2765,Americas,0.1002421171,65,605803,6008874,10743037,4322013,6282429,0,1,0,0,0,1
Costa Rica,2016,CRI,0.37493,0.257,0.211,0.304,0.77735,4899345,2448697,2450639,0.0408,0.461,0.377,0.543,0.82,0.761,0.882,11767.504957,100.19,2994,80.8,901.71,0.301172344689379,2500,4064,0.3809,Americas,0.110494115101,69,90852,1836911,1259132,516675,744994,0,1,0,0,0,1
Croatia,2016,HRV,0.29401,0.244,0.241,0.245,0.56403,4208602,2184475,2024136,0,0.311,0.259,0.358,0.768,0.701,0.84,12246.321509,114.66,3120,90.01,1031.94,0.33075,2895,4404,0.3966,Europe,0.114648094965,166,122425,1237371,1026899,526458,495913,0,0,0,1,0,0
Czech Republic,2016,CZE,0.25584,0.26,0.264,0.254,0.7357,10618857,5399829,5219039,0,0.311,0.281,0.339,0.774,0.731,0.82,18385.755051,138.44,3241,88.46,1245.96,0.384436902190682,6521,11908,0.3538,Europe,0.113548143005,267,106868,2716728,2760903,1425555,1325636,0,0,0,1,0,0
Denmark,2016,DNK,0.30412,0.197,0.223,0.17,0.87642,5711349,2870945,2840401,0,0.285,0.257,0.312,0.845,0.821,0.87,54818.456465,130.76,3335,111.61,1176.84,0.352875562218891,4564,6819,0.4009,Europe,0.14268320277,159,64596,1736935,1125136,640221,482868,0,0,0,1,0,1
Ecuador,2016,ECU,0.20894,0.199,0.149,0.247,0.63534,16491116,8237882,8253234,0.091,0.272,0.246,0.297,0.865,0.832,0.9,6099.315303,88.11,2577,66.65,792.99,0.307718277066356,6598,10980,0.3754,Americas,0.127939323713,46,566667,3445654,3281732,1227444,2038549,0,1,0,0,0,0
Egypt,2016,EGY,0.23543,0.32,0.227,0.411,0.42732,94447073,46717301,47729770,0.0476,0.31,0.232,0.388,0.875,0.821,0.931,2824.310351,57.91,3342,96.64,521.19,0.155951526032316,20380,113475,0.1523,Africa,0.145698293177,2,937981,22235674,30223063,10604827,19616935,1,0,0,0,0,2
Estonia,2016,EST,0.26969,0.212,0.203,0.218,0.68563,1316510,699361,617146,0,0.32,0.289,0.346,0.841,0.806,0.877,18283.818636,106.99,3241,107.25,962.91,0.297102746066029,952,1629,0.3688,Europe,0.120533001237,325,132482,355050,279100,141970,134538,0,0,0,1,0,0
