"","","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)"
"Country","Year"," Both sexes"," Male"," Female"
"Benin"," 2002","79.8 [76.4-82.8]","78.2 [74.8-81.2]","81.4 [78.0-84.4]"
"Benin"," 2001","80.0 [76.6-83.1]","78.6 [75.2-81.6]","81.5 [78.0-84.5]"
"Bhutan"," 2016","84.1 [78.9-88.2]","82.8 [77.4-87.1]","85.4 [80.5-89.3]"
"Bhutan"," 2015","84.0 [78.9-88.1]","82.8 [77.4-87.1]","85.4 [80.4-89.2]"
"Bhutan"," 2014","84.0 [78.8-88.1]","82.7 [77.4-87.0]","85.3 [80.3-89.2]"
"Bhutan"," 2013","84.0 [78.8-88.1]","82.7 [77.4-87.0]","85.2 [80.3-89.1]"
"Bhutan"," 2012","83.9 [78.8-88.0]","82.7 [77.3-87.0]","85.2 [80.2-89.1]"
"Bhutan"," 2011","83.9 [78.7-88.0]","82.7 [77.3-87.0]","85.1 [80.2-89.1]"
"Bhutan"," 2010","83.9 [78.7-88.0]","82.7 [77.3-87.0]","85.1 [80.1-89.0]"
"Bhutan"," 2009","83.8 [78.6-88.0]","82.6 [77.2-87.0]","85.0 [80.0-89.0]"
"Bhutan"," 2008","83.8 [78.6-87.9]","82.6 [77.2-86.9]","85.0 [79.9-88.9]"
"Bhutan"," 2007","83.7 [78.5-87.9]","82.6 [77.2-86.9]","84.9 [79.9-88.9]"
"Bhutan"," 2006","83.7 [78.4-87.9]","82.6 [77.1-86.9]","84.9 [79.8-88.9]"
"Bhutan"," 2005","83.7 [78.4-87.9]","82.5 [77.1-86.9]","84.8 [79.7-88.9]"
"Bhutan"," 2004","83.6 [78.3-87.9]","82.5 [77.0-86.9]","84.8 [79.6-88.8]"
"Bhutan"," 2003","83.6 [78.2-87.8]","82.5 [77.0-86.9]","84.7 [79.5-88.8]"
"Bhutan"," 2002","83.6 [78.1-87.8]","82.5 [76.9-86.9]","84.6 [79.4-88.7]"
"Bhutan"," 2001","83.5 [78.1-87.8]","82.5 [76.9-86.9]","84.6 [79.3-88.7]"
"Bolivia (Plurinational State of)"," 2016","85.5 [83.4-87.3]","82.4 [80.1-84.6]","88.6 [86.9-90.1]"
"Bolivia (Plurinational State of)"," 2015","85.5 [83.4-87.3]","82.4 [80.1-84.5]","88.6 [86.9-90.1]"
"Bolivia (Plurinational State of)"," 2014","85.5 [83.5-87.2]","82.4 [80.2-84.5]","88.6 [86.9-90.1]"
"Bolivia (Plurinational State of)"," 2013","85.4 [83.5-87.2]","82.4 [80.2-84.5]","88.5 [86.9-90.0]"
"Bolivia (Plurinational State of)"," 2012","85.4 [83.5-87.2]","82.5 [80.2-84.5]","88.5 [86.8-90.0]"
"Bolivia (Plurinational State of)"," 2011","85.4 [83.5-87.2]","82.5 [80.2-84.5]","88.5 [86.8-90.0]"
"Bolivia (Plurinational State of)"," 2010","85.4 [83.5-87.2]","82.5 [80.3-84.5]","88.5 [86.8-89.9]"
"Bolivia (Plurinational State of)"," 2009","85.4 [83.5-87.2]","82.5 [80.3-84.5]","88.4 [86.8-89.9]"
"Bolivia (Plurinational State of)"," 2008","85.4 [83.5-87.2]","82.5 [80.3-84.5]","88.4 [86.7-89.9]"
"Bolivia (Plurinational State of)"," 2007","85.4 [83.4-87.2]","82.5 [80.3-84.5]","88.4 [86.7-89.9]"
"Bolivia (Plurinational State of)"," 2006","85.4 [83.4-87.2]","82.5 [80.3-84.5]","88.4 [86.7-89.9]"
"Bolivia (Plurinational State of)"," 2005","85.4 [83.4-87.2]","82.5 [80.2-84.5]","88.4 [86.6-89.9]"
"Bolivia (Plurinational State of)"," 2004","85.4 [83.4-87.2]","82.5 [80.2-84.6]","88.3 [86.6-89.9]"
"Bolivia (Plurinational State of)"," 2003","85.4 [83.3-87.2]","82.5 [80.2-84.6]","88.3 [86.5-89.9]"
"Bolivia (Plurinational State of)"," 2002","85.4 [83.3-87.2]","82.5 [80.2-84.6]","88.3 [86.4-89.9]"
"Bolivia (Plurinational State of)"," 2001","85.4 [83.2-87.3]","82.5 [80.1-84.7]","88.3 [86.4-89.9]"
"Bosnia and Herzegovina"," 2010","No data","No data","No data"
"Botswana"," 2016","87.5 [84.9-89.6]","86.1 [83.4-88.4]","88.9 [86.5-90.9]"
"Botswana"," 2015","87.5 [85.0-89.6]","86.1 [83.5-88.4]","88.8 [86.5-90.8]"
"Botswana"," 2014","87.5 [85.0-89.6]","86.1 [83.5-88.4]","88.8 [86.5-90.8]"
"Botswana"," 2013","87.4 [85.0-89.6]","86.1 [83.5-88.3]","88.8 [86.5-90.8]"
"Botswana"," 2012","87.4 [85.0-89.5]","86.1 [83.5-88.3]","88.8 [86.5-90.8]"
"Botswana"," 2011","87.4 [85.0-89.5]","86.1 [83.5-88.3]","88.8 [86.5-90.8]"
"Botswana"," 2010","87.4 [85.0-89.5]","86.0 [83.5-88.2]","88.8 [86.5-90.7]"
"Botswana"," 2009","87.4 [85.0-89.5]","86.0 [83.5-88.2]","88.8 [86.5-90.7]"
"Botswana"," 2008","87.4 [85.0-89.5]","86.0 [83.5-88.2]","88.8 [86.5-90.7]"
"Botswana"," 2007","87.4 [84.9-89.4]","86.0 [83.5-88.2]","88.8 [86.4-90.7]"
"Botswana"," 2006","87.4 [84.9-89.4]","86.0 [83.5-88.2]","88.7 [86.4-90.7]"
"Botswana"," 2005","87.3 [84.9-89.4]","86.0 [83.4-88.2]","88.7 [86.4-90.7]"
"Botswana"," 2004","87.3 [84.9-89.4]","86.0 [83.4-88.2]","88.7 [86.4-90.7]"
"Botswana"," 2003","87.3 [84.9-89.4]","86.0 [83.4-88.2]","88.7 [86.3-90.7]"
"Botswana"," 2002","87.3 [84.8-89.4]","85.9 [83.3-88.2]","88.7 [86.3-90.7]"
"Botswana"," 2001","87.3 [84.8-89.4]","85.9 [83.3-88.2]","88.7 [86.3-90.7]"
"Brazil"," 2016","83.6 [81.1-85.8]","78.0 [75.0-80.8]","89.4 [87.6-91.0]"
"Brazil"," 2015","83.7 [81.2-85.8]","78.1 [75.2-80.9]","89.4 [87.6-91.0]"
"Brazil"," 2014","83.7 [81.3-85.8]","78.3 [75.3-81.0]","89.4 [87.6-90.9]"
"Brazil"," 2013","83.8 [81.4-85.9]","78.4 [75.5-81.1]","89.3 [87.6-90.9]"
"Brazil"," 2012","83.9 [81.5-85.9]","78.6 [75.7-81.2]","89.3 [87.5-90.9]"
"Brazil"," 2011","83.9 [81.6-86.0]","78.7 [75.9-81.3]","89.3 [87.5-90.9]"
"Brazil"," 2010","84.0 [81.7-86.0]","78.9 [76.1-81.4]","89.3 [87.5-90.8]"
"Brazil"," 2009","84.0 [81.8-86.1]","79.0 [76.2-81.5]","89.3 [87.5-90.8]"
"Brazil"," 2008","84.1 [81.8-86.2]","79.1 [76.4-81.7]","89.3 [87.5-90.8]"
"Brazil"," 2007","84.2 [81.9-86.2]","79.3 [76.5-81.8]","89.2 [87.4-90.8]"
"Brazil"," 2006","84.2 [81.9-86.3]","79.4 [76.6-82.0]","89.2 [87.4-90.8]"
"Brazil"," 2005","84.3 [82.0-86.4]","79.6 [76.8-82.1]","89.2 [87.4-90.8]"
"Brazil"," 2004","84.4 [82.0-86.4]","79.7 [76.9-82.3]","89.2 [87.3-90.8]"
"Brazil"," 2003","84.4 [82.1-86.5]","79.8 [77.0-82.4]","89.2 [87.3-90.8]"
"Brazil"," 2002","84.5 [82.1-86.6]","80.0 [77.1-82.6]","89.1 [87.2-90.8]"
"Brazil"," 2001","84.6 [82.1-86.7]","80.1 [77.2-82.7]","89.1 [87.2-90.8]"
"Brunei Darussalam"," 2016","87.1 [84.3-89.5]","81.1 [77.1-84.4]","93.5 [91.8-94.9]"
"Brunei Darussalam"," 2015","87.1 [84.3-89.5]","81.2 [77.3-84.5]","93.5 [91.8-94.9]"
"Brunei Darussalam"," 2014","87.2 [84.4-89.5]","81.3 [77.5-84.6]","93.5 [91.8-94.8]"
"Brunei Darussalam"," 2013","87.2 [84.4-89.6]","81.4 [77.6-84.7]","93.4 [91.7-94.8]"
"Brunei Darussalam"," 2012","87.2 [84.5-89.6]","81.5 [77.7-84.8]","93.4 [91.7-94.8]"
"Brunei Darussalam"," 2011","87.3 [84.5-89.6]","81.6 [77.9-84.9]","93.4 [91.7-94.8]"
"Brunei Darussalam"," 2010","87.3 [84.6-89.7]","81.7 [78.0-85.0]","93.4 [91.6-94.7]"
"Brunei Darussalam"," 2009","87.4 [84.6-89.7]","81.8 [78.1-85.0]","93.3 [91.6-94.7]"
"Brunei Darussalam"," 2008","87.4 [84.7-89.8]","82.0 [78.3-85.1]","93.3 [91.6-94.7]"
"Brunei Darussalam"," 2007","87.5 [84.7-89.8]","82.1 [78.4-85.2]","93.3 [91.5-94.7]"
"Brunei Darussalam"," 2006","87.5 [84.8-89.8]","82.2 [78.5-85.3]","93.2 [91.5-94.6]"
"Brunei Darussalam"," 2005","87.6 [84.8-89.9]","82.3 [78.6-85.4]","93.2 [91.4-94.6]"
"Brunei Darussalam"," 2004","87.6 [84.9-90.0]","82.4 [78.7-85.5]","93.2 [91.4-94.6]"
"Brunei Darussalam"," 2003","87.7 [84.9-90.0]","82.5 [78.8-85.7]","93.1 [91.3-94.6]"
"Brunei Darussalam"," 2002","87.7 [84.9-90.1]","82.6 [78.9-85.8]","93.1 [91.3-94.6]"
"Brunei Darussalam"," 2001","87.8 [85.0-90.1]","82.7 [79.0-85.9]","93.1 [91.2-94.6]"
"Bulgaria"," 2016","73.3 [69.5-76.8]","67.0 [62.8-71.0]","80.1 [76.6-83.1]"
"Bulgaria"," 2015","73.5 [69.7-76.9]","67.3 [63.2-71.2]","80.1 [76.7-83.0]"
"Bulgaria"," 2014","73.7 [70.0-77.0]","67.6 [63.6-71.4]","80.1 [76.8-83.0]"
"Bulgaria"," 2013","73.8 [70.2-77.1]","67.9 [64.0-71.6]","80.1 [76.8-83.0]"
"Bulgaria"," 2012","74.0 [70.4-77.2]","68.2 [64.3-71.8]","80.1 [76.9-83.0]"
"Bulgaria"," 2011","74.1 [70.6-77.4]","68.5 [64.7-72.0]","80.1 [76.9-83.0]"
"Bulgaria"," 2010","74.3 [70.8-77.5]","68.8 [65.0-72.3]","80.1 [76.9-83.0]"
"Bulgaria"," 2009","74.5 [71.0-77.6]","69.1 [65.4-72.5]","80.2 [77.0-83.0]"
"Bulgaria"," 2008","74.6 [71.2-77.7]","69.3 [65.7-72.7]","80.2 [77.0-83.0]"
"Bulgaria"," 2007","74.8 [71.4-77.9]","69.6 [66.1-73.0]","80.2 [77.0-83.0]"
"Bulgaria"," 2006","74.9 [71.6-78.0]","69.9 [66.4-73.2]","80.2 [77.0-83.0]"
"Bulgaria"," 2005","75.1 [71.7-78.2]","70.2 [66.7-73.5]","80.2 [77.0-83.1]"
"Bulgaria"," 2004","75.2 [71.9-78.3]","70.5 [67.0-73.7]","80.2 [77.0-83.1]"
"Bulgaria"," 2003","75.4 [72.0-78.5]","70.7 [67.3-74.0]","80.3 [77.0-83.1]"
"Bulgaria"," 2002","75.5 [72.2-78.6]","71.0 [67.5-74.3]","80.3 [77.0-83.2]"
"Bulgaria"," 2001","75.7 [72.3-78.8]","71.3 [67.8-74.6]","80.3 [77.0-83.2]"
"Burkina Faso"," 2010","No data","No data","No data"
"Burundi"," 2010","No data","No data","No data"
"Cabo Verde"," 2010","No data","No data","No data"
"Cambodia"," 2016","91.6 [89.6-93.2]","89.8 [87.5-91.7]","93.4 [91.8-94.7]"
"Cambodia"," 2015","91.5 [89.5-93.1]","89.7 [87.4-91.6]","93.4 [91.7-94.7]"
"Cambodia"," 2014","91.4 [89.4-93.1]","89.6 [87.3-91.5]","93.3 [91.7-94.7]"
"Cambodia"," 2013","91.3 [89.4-93.0]","89.4 [87.1-91.4]","93.3 [91.7-94.6]"
"Cambodia"," 2012","91.2 [89.3-92.9]","89.3 [87.0-91.3]","93.3 [91.6-94.6]"
"Cambodia"," 2011","91.2 [89.2-92.8]","89.2 [86.8-91.2]","93.2 [91.6-94.6]"
"Cambodia"," 2010","91.1 [89.1-92.7]","89.1 [86.7-91.1]","93.2 [91.5-94.6]"
"Cambodia"," 2009","91.0 [89.0-92.7]","88.9 [86.5-90.9]","93.2 [91.5-94.5]"
"Cambodia"," 2008","90.9 [88.9-92.6]","88.8 [86.4-90.8]","93.1 [91.5-94.5]"
"Cambodia"," 2007","90.8 [88.8-92.6]","88.7 [86.2-90.7]","93.1 [91.4-94.5]"
"Cambodia"," 2006","90.8 [88.7-92.5]","88.5 [86.1-90.6]","93.1 [91.4-94.5]"
"Cambodia"," 2005","90.7 [88.5-92.4]","88.4 [85.9-90.5]","93.0 [91.3-94.4]"
"Cambodia"," 2004","90.6 [88.4-92.4]","88.3 [85.7-90.4]","93.0 [91.3-94.4]"
"Cambodia"," 2003","90.5 [88.3-92.3]","88.1 [85.5-90.3]","93.0 [91.2-94.4]"
"Cambodia"," 2002","90.4 [88.2-92.3]","88.0 [85.3-90.2]","93.0 [91.2-94.4]"
"Cambodia"," 2001","90.3 [88.1-92.2]","87.8 [85.1-90.1]","92.9 [91.1-94.4]"
"Cameroon"," 2010","No data","No data","No data"
"Canada"," 2016","76.3 [73.3-79.0]","70.5 [67.1-73.7]","82.4 [79.8-84.7]"
"Canada"," 2015","76.4 [73.5-79.1]","70.8 [67.4-73.8]","82.4 [79.9-84.6]"
"Canada"," 2014","76.5 [73.7-79.1]","71.0 [67.8-74.0]","82.4 [79.9-84.6]"
"Canada"," 2013","76.7 [73.9-79.2]","71.3 [68.2-74.2]","82.4 [80.0-84.6]"
"Canada"," 2012","76.8 [74.1-79.3]","71.5 [68.5-74.3]","82.4 [80.0-84.5]"
"Canada"," 2011","76.9 [74.3-79.4]","71.7 [68.8-74.5]","82.4 [80.1-84.5]"
"Canada"," 2010","77.1 [74.5-79.5]","72.0 [69.2-74.7]","82.4 [80.1-84.5]"
"Canada"," 2009","77.2 [74.7-79.6]","72.2 [69.5-74.8]","82.4 [80.1-84.5]"
"Canada"," 2008","77.3 [74.8-79.7]","72.5 [69.8-75.0]","82.4 [80.2-84.5]"
"Canada"," 2007","77.5 [75.0-79.8]","72.7 [70.1-75.2]","82.4 [80.2-84.5]"
"Canada"," 2006","77.6 [75.1-79.9]","73.0 [70.3-75.4]","82.4 [80.2-84.5]"
"Canada"," 2005","77.7 [75.3-80.0]","73.2 [70.6-75.6]","82.5 [80.2-84.5]"
"Canada"," 2004","77.8 [75.4-80.1]","73.4 [70.9-75.9]","82.5 [80.2-84.5]"
"Canada"," 2003","78.0 [75.5-80.2]","73.7 [71.1-76.1]","82.5 [80.2-84.6]"
"Canada"," 2002","78.1 [75.6-80.4]","73.9 [71.3-76.3]","82.5 [80.1-84.6]"
"Canada"," 2001","78.2 [75.7-80.5]","74.1 [71.5-76.6]","82.5 [80.1-84.6]"
"Central African Republic"," 2010","No data","No data","No data"
"Chad"," 2010","No data","No data","No data"
"Chile"," 2016","87.6 [85.5-89.4]","84.2 [81.7-86.4]","91.2 [89.6-92.6]"
"Chile"," 2015","87.6 [85.5-89.4]","84.1 [81.7-86.3]","91.2 [89.6-92.5]"
"Chile"," 2014","87.6 [85.5-89.3]","84.1 [81.7-86.3]","91.1 [89.6-92.5]"
"Chile"," 2013","87.5 [85.5-89.3]","84.1 [81.7-86.3]","91.1 [89.5-92.5]"
"Chile"," 2012","87.5 [85.5-89.3]","84.1 [81.7-86.2]","91.1 [89.5-92.5]"
"Chile"," 2011","87.5 [85.5-89.3]","84.1 [81.7-86.2]","91.1 [89.5-92.5]"
"Chile"," 2010","87.5 [85.5-89.3]","84.0 [81.6-86.2]","91.1 [89.5-92.4]"
"Chile"," 2009","87.5 [85.5-89.2]","84.0 [81.6-86.2]","91.1 [89.5-92.4]"
"Chile"," 2008","87.5 [85.5-89.2]","84.0 [81.6-86.1]","91.0 [89.4-92.4]"
"Chile"," 2007","87.4 [85.4-89.2]","84.0 [81.6-86.1]","91.0 [89.4-92.4]"
"Chile"," 2006","87.4 [85.4-89.2]","84.0 [81.5-86.1]","91.0 [89.4-92.4]"
"Chile"," 2005","87.4 [85.4-89.2]","83.9 [81.5-86.1]","91.0 [89.3-92.4]"
"Chile"," 2004","87.4 [85.3-89.2]","83.9 [81.4-86.1]","91.0 [89.3-92.4]"
"Chile"," 2003","87.4 [85.3-89.2]","83.9 [81.4-86.1]","90.9 [89.2-92.4]"
"Chile"," 2002","87.4 [85.2-89.2]","83.9 [81.3-86.1]","90.9 [89.2-92.4]"
"Chile"," 2001","87.3 [85.2-89.2]","83.9 [81.2-86.2]","90.9 [89.1-92.4]"
"China"," 2016","84.3 [81.1-87.0]","80.1 [76.3-83.4]","89.1 [86.7-91.1]"
"China"," 2015","84.3 [81.2-87.0]","80.2 [76.5-83.5]","89.1 [86.7-91.1]"
"China"," 2014","84.4 [81.4-87.1]","80.4 [76.7-83.6]","89.0 [86.6-91.0]"
"China"," 2013","84.5 [81.5-87.1]","80.5 [76.9-83.7]","89.0 [86.6-91.0]"
"China"," 2012","84.6 [81.6-87.2]","80.7 [77.1-83.8]","89.0 [86.6-91.0]"
"China"," 2011","84.6 [81.6-87.2]","80.8 [77.3-84.0]","89.0 [86.6-91.0]"
"China"," 2010","84.7 [81.7-87.3]","81.0 [77.5-84.1]","88.9 [86.5-90.9]"
"China"," 2009","84.8 [81.8-87.4]","81.1 [77.6-84.2]","88.9 [86.5-90.9]"
"China"," 2008","84.9 [81.9-87.4]","81.3 [77.8-84.3]","88.9 [86.5-90.9]"
"China"," 2007","84.9 [82.0-87.5]","81.4 [78.0-84.5]","88.8 [86.4-90.9]"
"China"," 2006","85.0 [82.0-87.6]","81.6 [78.1-84.6]","88.8 [86.4-90.9]"
"China"," 2005","85.1 [82.1-87.7]","81.7 [78.3-84.7]","88.8 [86.3-90.8]"
"China"," 2004","85.2 [82.1-87.7]","81.9 [78.4-84.9]","88.7 [86.2-90.8]"
"China"," 2003","85.2 [82.2-87.8]","82.0 [78.5-85.0]","88.7 [86.2-90.8]"
"China"," 2002","85.3 [82.2-87.9]","82.2 [78.7-85.2]","88.7 [86.1-90.8]"
"China"," 2001","85.4 [82.3-88.0]","82.3 [78.8-85.3]","88.6 [86.0-90.8]"
"Colombia"," 2016","83.9 [81.6-86.0]","81.0 [78.4-83.4]","87.0 [84.9-88.8]"
"Colombia"," 2015","84.0 [81.7-86.0]","81.1 [78.5-83.4]","87.0 [85.0-88.7]"
"Colombia"," 2014","84.0 [81.7-86.0]","81.1 [78.6-83.4]","87.0 [85.0-88.7]"
"Colombia"," 2013","84.0 [81.8-86.0]","81.2 [78.7-83.4]","86.9 [85.0-88.7]"
"Colombia"," 2012","84.0 [81.8-86.0]","81.2 [78.8-83.5]","86.9 [85.0-88.7]"
"Colombia"," 2011","84.0 [81.8-86.0]","81.3 [78.8-83.5]","86.9 [85.0-88.6]"
"Colombia"," 2010","84.1 [81.9-86.0]","81.3 [78.9-83.5]","86.9 [85.0-88.6]"
"Colombia"," 2009","84.1 [81.9-86.0]","81.4 [78.9-83.6]","86.9 [85.0-88.6]"
"Colombia"," 2008","84.1 [81.9-86.1]","81.4 [79.0-83.6]","86.9 [84.9-88.6]"
"Colombia"," 2007","84.1 [81.9-86.1]","81.4 [79.0-83.6]","86.9 [84.9-88.6]"
"Colombia"," 2006","84.1 [81.9-86.1]","81.5 [79.1-83.7]","86.9 [84.9-88.6]"
"Colombia"," 2005","84.2 [81.9-86.2]","81.5 [79.1-83.8]","86.9 [84.9-88.6]"
"Colombia"," 2004","84.2 [81.9-86.2]","81.6 [79.1-83.8]","86.9 [84.8-88.7]"
"Colombia"," 2003","84.2 [81.9-86.2]","81.6 [79.1-83.9]","86.9 [84.8-88.7]"
"Colombia"," 2002","84.2 [81.9-86.3]","81.7 [79.1-84.0]","86.8 [84.7-88.7]"
"Colombia"," 2001","84.2 [81.9-86.3]","81.7 [79.1-84.1]","86.8 [84.7-88.7]"
"Comoros"," 2010","No data","No data","No data"
"Congo"," 2010","No data","No data","No data"
"Cook Islands"," 2016","82.7 [79.3-85.7]","77.7 [73.6-81.4]","87.7 [85.0-90.0]"
"Cook Islands"," 2015","82.8 [79.4-85.8]","77.9 [73.9-81.5]","87.7 [85.0-90.0]"
"Cook Islands"," 2014","82.9 [79.5-85.8]","78.1 [74.1-81.7]","87.7 [85.0-90.0]"
"Cook Islands"," 2013","83.0 [79.6-85.9]","78.3 [74.4-81.9]","87.7 [84.9-90.0]"
"Cook Islands"," 2012","83.1 [79.7-86.0]","78.5 [74.6-82.0]","87.6 [84.9-89.9]"
"Cook Islands"," 2011","83.2 [79.8-86.1]","78.7 [74.8-82.2]","87.6 [84.9-89.9]"
"Cook Islands"," 2010","83.3 [79.9-86.1]","78.9 [75.0-82.4]","87.6 [84.8-89.9]"
"Cook Islands"," 2009","83.3 [80.0-86.2]","79.1 [75.2-82.6]","87.6 [84.8-89.9]"
"Cook Islands"," 2008","83.4 [80.1-86.3]","79.3 [75.4-82.7]","87.5 [84.8-89.9]"
"Cook Islands"," 2007","83.5 [80.2-86.4]","79.5 [75.6-82.9]","87.5 [84.7-89.8]"
"Cook Islands"," 2006","83.6 [80.2-86.5]","79.7 [75.8-83.1]","87.5 [84.7-89.8]"
"Cook Islands"," 2005","83.7 [80.3-86.6]","79.9 [76.0-83.3]","87.4 [84.6-89.8]"
"Cook Islands"," 2004","83.7 [80.4-86.6]","80.1 [76.2-83.5]","87.4 [84.5-89.8]"
"Cook Islands"," 2003","83.8 [80.4-86.7]","80.3 [76.4-83.7]","87.3 [84.4-89.8]"
"Cook Islands"," 2002","83.9 [80.5-86.8]","80.5 [76.6-83.9]","87.3 [84.4-89.7]"
"Cook Islands"," 2001","84.0 [80.6-86.9]","80.7 [76.8-84.1]","87.2 [84.3-89.7]"
"Costa Rica"," 2016","82.0 [79.5-84.3]","76.1 [73.0-78.9]","88.2 [86.3-89.8]"
"Costa Rica"," 2015","82.1 [79.7-84.3]","76.3 [73.3-79.1]","88.1 [86.3-89.8]"
"Costa Rica"," 2014","82.2 [79.8-84.4]","76.5 [73.6-79.2]","88.1 [86.3-89.7]"
"Costa Rica"," 2013","82.3 [79.9-84.4]","76.8 [73.9-79.4]","88.1 [86.3-89.7]"
"Costa Rica"," 2012","82.4 [80.1-84.5]","77.0 [74.2-79.6]","88.0 [86.3-89.6]"
"Costa Rica"," 2011","82.5 [80.2-84.5]","77.2 [74.4-79.7]","88.0 [86.2-89.6]"
"Costa Rica"," 2010","82.6 [80.3-84.6]","77.4 [74.7-79.9]","88.0 [86.2-89.5]"
"Costa Rica"," 2009","82.7 [80.4-84.7]","77.6 [74.9-80.1]","87.9 [86.2-89.5]"
"Costa Rica"," 2008","82.7 [80.5-84.8]","77.8 [75.1-80.3]","87.9 [86.1-89.5]"
"Costa Rica"," 2007","82.8 [80.6-84.9]","78.0 [75.4-80.5]","87.9 [86.1-89.4]"
"Costa Rica"," 2006","82.9 [80.7-84.9]","78.2 [75.6-80.7]","87.8 [86.0-89.4]"
"Costa Rica"," 2005","83.0 [80.8-85.0]","78.4 [75.8-80.9]","87.8 [86.0-89.4]"
"Costa Rica"," 2004","83.1 [80.8-85.1]","78.6 [76.0-81.1]","87.7 [85.9-89.4]"
"Costa Rica"," 2003","83.2 [80.9-85.2]","78.8 [76.1-81.3]","87.7 [85.8-89.4]"
"Costa Rica"," 2002","83.3 [80.9-85.3]","79.0 [76.3-81.5]","87.7 [85.7-89.3]"
"Costa Rica"," 2001","83.3 [81.0-85.5]","79.2 [76.5-81.7]","87.6 [85.7-89.3]"
"Côte d'Ivoire"," 2010","No data","No data","No data"
"Croatia"," 2016","76.8 [73.4-79.9]","70.1 [66.1-73.7]","84.0 [81.1-86.5]"
"Croatia"," 2015","76.9 [73.6-80.0]","70.3 [66.4-73.9]","84.0 [81.1-86.4]"
"Croatia"," 2014","77.0 [73.7-80.0]","70.5 [66.7-74.0]","84.0 [81.2-86.4]"
"Croatia"," 2013","77.1 [73.9-80.1]","70.7 [67.0-74.1]","84.0 [81.2-86.4]"
"Croatia"," 2012","77.3 [74.1-80.2]","70.9 [67.3-74.3]","84.0 [81.2-86.4]"
"Croatia"," 2011","77.4 [74.2-80.2]","71.1 [67.5-74.4]","83.9 [81.2-86.3]"
"Croatia"," 2010","77.5 [74.4-80.3]","71.3 [67.8-74.6]","83.9 [81.2-86.3]"
"Croatia"," 2009","77.6 [74.5-80.4]","71.5 [68.1-74.8]","83.9 [81.3-86.3]"
"Croatia"," 2008","77.7 [74.6-80.5]","71.7 [68.3-74.9]","83.9 [81.3-86.3]"
"Croatia"," 2007","77.8 [74.7-80.6]","71.9 [68.5-75.1]","83.9 [81.3-86.3]"
"Croatia"," 2006","77.9 [74.9-80.7]","72.1 [68.8-75.3]","83.9 [81.2-86.3]"
"Croatia"," 2005","78.0 [75.0-80.8]","72.3 [69.0-75.4]","83.9 [81.2-86.3]"
"Croatia"," 2004","78.1 [75.1-80.9]","72.5 [69.2-75.6]","83.9 [81.2-86.3]"
"Croatia"," 2003","78.2 [75.2-81.0]","72.7 [69.4-75.8]","83.9 [81.2-86.4]"
"Croatia"," 2002","78.3 [75.3-81.1]","72.9 [69.6-76.0]","83.9 [81.2-86.4]"
"Croatia"," 2001","78.4 [75.3-81.2]","73.1 [69.8-76.2]","83.9 [81.1-86.4]"
"Cuba"," 2010","No data","No data","No data"
"Cyprus"," 2010","No data","No data","No data"
"Czechia"," 2016","77.4 [74.0-80.5]","73.1 [69.3-76.5]","82.0 [78.8-84.8]"
"Czechia"," 2015","77.5 [74.1-80.5]","73.2 [69.5-76.5]","82.0 [78.9-84.7]"
"Czechia"," 2014","77.5 [74.2-80.5]","73.2 [69.6-76.6]","82.0 [78.9-84.7]"
"Czechia"," 2013","77.5 [74.3-80.5]","73.3 [69.8-76.6]","82.0 [79.0-84.7]"
"Czechia"," 2012","77.6 [74.3-80.5]","73.4 [69.9-76.6]","82.0 [79.0-84.7]"
"Czechia"," 2011","77.6 [74.4-80.6]","73.5 [70.0-76.6]","82.0 [79.0-84.7]"
"Czechia"," 2010","77.7 [74.5-80.6]","73.6 [70.2-76.7]","82.0 [79.1-84.7]"
"Czechia"," 2009","77.7 [74.6-80.6]","73.6 [70.3-76.7]","82.1 [79.1-84.7]"
"Czechia"," 2008","77.8 [74.6-80.6]","73.7 [70.4-76.8]","82.1 [79.1-84.7]"
"Czechia"," 2007","77.8 [74.7-80.7]","73.8 [70.5-76.8]","82.1 [79.1-84.7]"
"Czechia"," 2006","77.9 [74.7-80.7]","73.9 [70.6-76.9]","82.1 [79.1-84.7]"
"Czechia"," 2005","77.9 [74.8-80.8]","73.9 [70.7-77.0]","82.1 [79.1-84.8]"
"Czechia"," 2004","78.0 [74.8-80.8]","74.0 [70.7-77.0]","82.1 [79.1-84.8]"
"Czechia"," 2003","78.0 [74.8-80.9]","74.1 [70.8-77.1]","82.1 [79.1-84.8]"
"Czechia"," 2002","78.1 [74.9-80.9]","74.2 [70.9-77.2]","82.1 [79.1-84.8]"
"Czechia"," 2001","78.1 [74.9-81.0]","74.2 [70.9-77.3]","82.2 [79.0-84.9]"
"Democratic People's Republic of Korea"," 2010","No data","No data","No data"
"Democratic Republic of the Congo"," 2010","No data","No data","No data"
"Denmark"," 2016","84.5 [82.3-86.5]","82.1 [79.7-84.3]","87.0 [85.0-88.8]"
"Denmark"," 2015","84.4 [82.2-86.4]","82.0 [79.6-84.1]","87.0 [85.0-88.7]"
"Denmark"," 2014","84.3 [82.2-86.3]","81.9 [79.5-84.0]","86.9 [85.0-88.7]"
